# Wheat Affordability Analysis: Income-Deflated Price Index (Option A)
# Methodology: A_{i,t} = p_{i,t} / y^{pc}_{i,t}
# 
# Column Definitions:
# - affordability_index: Fraction of annual income needed to buy 1 kg wheat (unit-free)
# - log_affordability_index: Natural log of affordability index (for regression)
# - kg_wheat_per_1pct_gdp: Kg of wheat purchasable with 1% of GDP per capita
# - affordability_percentage: Affordability index as percentage
# 
# Lower affordability_index values = wheat more affordable
# Higher kg_wheat_per_1pct_gdp values = wheat more affordable
#
year,country,wheat_price_nominal,gdp_per_capita,affordability_index,log_affordability_index,kg_wheat_per_1pct_gdp,affordability_percentage
1954,UK,32.03475,12145.0,0.002637690407575134,-5.937851590340153,3.7911954986381975,0.2637690407575134
1955,UK,22.493166666666667,12541.0,0.0017935704223480317,-6.323546996444689,5.575471068991323,0.17935704223480317
1850,US,64.58333333333333,3631.82,0.017782636070436675,-4.02953279945636,0.5623463225806452,1.7782636070436675
1851,US,45.166666666666664,3778.3784,0.011953981810468391,-4.426690850208438,0.8365413431734319,1.195398181046839
1852,US,44.666666666666664,3971.2185,0.011247597347430433,-4.4876007422581345,0.8890787686567165,1.1247597347430434
1853,US,72.95833333333333,4242.48,0.017197095409603187,-4.063014780957832,0.5814935465448315,1.7197095409603187
1854,US,108.08333333333333,4254.0503,0.02540715922736817,-3.6727242853273254,0.3935898504240555,2.5407159227368172
1855,US,130.125,4161.4873,0.031268868704705646,-3.465132286462148,0.3198069010566763,3.126886870470565
1856,US,103.25,4247.6226,0.024307715096910917,-3.7169614853260557,0.41139201937046005,2.4307715096910916
1857,US,91.04166666666667,4156.3447,0.021904262816957093,-3.8210740119252518,0.45653214096109834,2.1904262816957094
1858,US,64.91666666666667,4176.9146,0.015541774942362162,-4.164223722909752,0.6434271527599487,1.554177494236216
1859,US,87.875,4288.7617,0.02048959726533652,-3.887837972105728,0.48805254054054054,2.048959726533652
1860,US,92.875,4401.8945,0.021098870043341565,-3.8585357923823667,0.4739590309555855,2.1098870043341567
1861,US,71.875,4311.9023,0.016668976938554476,-4.094205955515186,0.5999168417391304,1.6668976938554476
1862,US,76.5,4446.8906,0.01720303170939263,-4.062669648521092,0.5812928888888889,1.7203031709392629
1863,US,99.75,4733.579,0.021072849951379286,-3.8597697992128888,0.474544260651629,2.1072849951379284
1864,US,153.5,4889.1367,0.03139613584541418,-3.461070455888665,0.3185105342019544,3.139613584541418
1865,US,130.45833333333334,4637.159,0.02813324566471267,-3.5708032822363895,0.3554513446183328,2.813324566471267
1866,US,168.5,4599.877,0.036631414274773,-3.3068490931968384,0.27298973293768547,3.6631414274772998
1867,US,218.04166666666666,4751.5776,0.04588826807051761,-3.081545792178478,0.2179206237339958,4.588826807051761
1868,US,178.33333333333334,4815.8574,0.03703044308025677,-3.2960149186878347,0.2700480785046729,3.703044308025677
1869,US,113.29166666666667,4943.132,0.022919004927779933,-3.775788803096385,0.436319117322545,2.291900492777993
1870,US,96.04166666666667,4803.0015,0.019996176696315142,-3.912214188886782,0.5000956008676789,1.9996176696315142
1871,US,122.375,4918.7056,0.02487951301659526,-3.6937105845906895,0.4019371276813075,2.487951301659526
1872,US,124.70833333333333,4991.985,0.024981712351566227,-3.6896112277323034,0.40029281657200133,2.4981712351566228
1873,US,117.0,5116.688,0.022866354172855565,-3.778088698921893,0.4373237606837607,2.2866354172855563
1874,US,108.625,4964.9873,0.021878202991576636,-3.822264434985108,0.45707593095512083,2.1878202991576634
1875,US,101.75,5105.1177,0.019930980239691636,-3.9154799618379,0.5017314692874693,1.9930980239691636
1876,US,103.0,5049.837,0.02039669795282501,-3.892382256291126,0.4902754368932039,2.039669795282501
1877,US,127.5,5098.6895,0.025006425670753236,-3.688622460309544,0.39989721568627457,2.5006425670753236
1878,US,97.16666666666667,5198.9663,0.018689612715255852,-3.9797873792244975,0.5350565660377359,1.8689612715255852
1879,US,99.45833333333333,5715.778,0.01740066414989059,-4.05124690395615,0.5746907080016758,1.740066414989059
1880,US,105.70833333333333,6255.7295,0.01689784274293403,-4.080569313547952,0.591791517540402,1.689784274293403
1881,US,115.04166666666667,6317.4385,0.018210175954489573,-4.0057747227692815,0.5491435132198479,1.8210175954489574
1882,US,117.83333333333333,6557.8457,0.01796829915246913,-4.019146231944485,0.556535702970297,1.7968299152469132
1883,US,101.7,6559.1313,0.015505102024714766,-4.16658614633433,0.6449489970501475,1.5505102024714768
1884,US,82.98333333333333,6523.1343,0.012721389675103476,-4.364470475850257,0.7860776420968065,1.2721389675103476
1885,US,83.65833333333333,6424.143,0.013022489277298674,-4.341077471743334,0.7679023408706047,1.3022489277298674
1886,US,76.71666666666667,6471.7104,0.01185415630876602,-4.4350767295412865,0.8435859743645449,1.1854156308766022
1887,US,75.70833333333333,6616.9834,0.011441517796966715,-4.470506627270948,0.8740099152449093,1.1441517796966716
1888,US,89.75833333333333,6447.284,0.01392188297170302,-4.274293362268478,0.7182936403305171,1.3921882971703021
1889,US,85.0,6705.6895,0.012675803137022672,-4.368060367644629,0.7889046470588236,1.2675803137022672
1890,US,88.95833333333333,6664.5503,0.013347987385335412,-4.316389663153734,0.7491766145199064,1.3347987385335411
1891,US,96.41666666666667,6811.109,0.01415579557846845,-4.257631157231299,0.7064244425237683,1.415579557846845
1892,US,79.05833333333334,7324.063,0.010794327319867857,-4.528734531003484,0.9264125223990723,1.0794327319867858
1893,US,67.375,6834.2495,0.009858434346009757,-4.619427911412956,1.0143598515769943,0.9858434346009757
1894,US,55.76666666666667,6510.2783,0.008565942052994366,-4.759961164580183,1.1674139210998207,0.8565942052994366
1895,US,60.175000000000004,7159.5063,0.008404909148554001,-4.7789393213942555,1.1897808558371417,0.8404909148554001
1896,US,63.80833333333334,6885.674,0.009266824617798248,-4.681314502012779,1.0791182969831528,0.9266824617798248
1897,US,81.3,7406.342,0.010977078833248586,-4.511945922627554,0.910989175891759,1.0977078833248586
1898,US,88.78333333333335,7426.911,0.011954274574359831,-4.426666359598437,0.8365208560165195,1.195427457435983
1899,US,70.61666666666666,7959.1494,0.008872388633220863,-4.724811225427627,1.1270921973094172,0.8872388633220863
1900,US,70.43333333333334,8037.5713,0.00876301194781729,-4.737215603470201,1.1411601467108377,0.876301194781729
1901,US,71.55,8770.363,0.008158157193721628,-4.808736969613224,1.2257670160726766,0.8158157193721628
1902,US,73.70833333333333,8684.228,0.008487609184527782,-4.769147922023626,1.1781880836630865,0.8487609184527782
1903,US,77.45,8941.348,0.008662004878906402,-4.748809072935831,1.154467140090381,0.8662004878906402
1904,US,100.45,8663.658,0.011594409659291724,-4.457232222956566,0.8624846192135389,1.1594409659291725
1905,US,97.075,9121.332,0.010642634211757668,-4.542887249417578,0.9396169971671389,1.0642634211757669
1906,US,76.94166666666666,9980.113,0.007709498546425944,-4.865302132896118,1.2971012238708979,0.7709498546425944
1907,US,87.20833333333333,9950.544,0.008764177449326723,-4.737082609926884,1.1410083898709986,0.8764177449326723
1908,US,97.25833333333333,8975.976,0.010835404788664021,-4.524936285331804,0.9229004541170424,1.083540478866402
1909,US,113.03333333333335,9798.118,0.011536229032282868,-4.462262844936655,0.8668343851371276,1.1536229032282868
1910,US,102.625,9636.783,0.010649300705432508,-4.542261050444248,0.9390287941534714,1.0649300705432507
1911,US,91.97500000000001,9735.89,0.009447004844960246,-4.662057535338254,1.0585365588475129,0.9447004844960246
1912,US,97.89999999999999,9976.567,0.00981299479069303,-4.624047772615658,1.0190568947906027,0.981299479069303
1913,US,88.43333333333334,10107.97,0.00874887176488784,-4.738830528081915,1.143004523181304,0.8748871764887841
1914,US,98.75833333333333,9096.372,0.010856892542799847,-4.522955143285332,0.9210738671842039,1.0856892542799848
1915,US,128.82500000000002,9164.177,0.01405745436824278,-4.264602463882305,0.7113663496992042,1.405745436824278
1916,US,133.70000000000002,10222.32,0.013079222720478328,-4.336730359758705,0.7645714285714285,1.3079222720478327
1917,US,214.56363636363633,9769.078,0.021963550333371926,-3.818371002668367,0.4552997966274045,2.1963550333371926
1918,US,220.225,10471.306,0.021031283012835265,-3.8617442824344623,0.47548216596662507,2.1031283012835265
1919,US,231.98333333333335,10449.78,0.02219982940629691,-3.8076706745344686,0.4504539119189597,2.219982940629691
1920,US,243.75833333333333,10152.927,0.024008675856069223,-3.729340019954522,0.41651609859491984,2.4008675856069224
1921,US,136.16666666666666,9674.881,0.014074247183677677,-4.263408592448791,0.710517576499388,1.4074247183677677
1922,US,120.16666666666667,10009.715,0.012005003805469653,-4.422431732318579,0.8329859916782247,1.2005003805469654
1923,US,111.10000000000001,11071.243,0.010035006909341617,-4.601675608209746,0.9965115211521152,1.0035006909341617
1924,US,123.78333333333335,11126.713,0.011124878778964942,-4.498571347262012,0.8988861990036353,1.1124878778964942
1925,US,163.04166666666666,11149.772,0.014622870016235906,-4.225168536386232,0.6838602811142347,1.4622870016235907
1926,US,150.89166666666668,11647.768,0.012954556329304178,-4.3463077126170955,0.7719291765615508,1.2954556329304179
1927,US,135.04999999999998,11532.397,0.011710488287907533,-4.447270403872305,0.8539353572750835,1.1710488287907532
1928,US,129.10833333333332,11451.069,0.011274784330906864,-4.485186521855553,0.8869349254502034,1.1274784330906864
1929,US,121.2,11954.235,0.010138666338749405,-4.591398814247407,0.9863230198019803,1.0138666338749405
1930,US,94.01666666666667,10694.982,0.00879072696584872,-4.7340578669677615,1.1375623471015777,0.8790726965848719
1931,US,66.46666666666667,9930.964,0.0066928715748709455,-5.006712263024573,1.4941269809428286,0.6692871574870946
1932,US,52.425000000000004,8380.504,0.006255590355902223,-5.074279758077706,1.5985701478302337,0.6255590355902223
1933,US,73.58333333333333,8048.2246,0.00914280316348693,-4.694788248688824,1.0937564575311438,0.914280316348693
1934,US,94.89166666666667,8667.092,0.010948501142790069,-4.514552714025794,0.9133670325810135,1.0948501142790068
1935,US,96.5,9680.839,0.009968144289973214,-4.608360841723466,1.003195751295337,0.9968144289973214
1936,US,109.25,10568.013,0.010337799546612972,-4.571948242354395,0.9673238443935928,1.0337799546612971
1937,US,120.66666666666667,11295.099,0.010683099516583845,-4.539092270646269,0.9360579281767956,1.0683099516583845
1938,US,77.08333333333333,10526.134,0.0073230431356216185,-4.91672930849018,1.365552518918919,0.7323043135621619
1939,US,77.33333333333333,11171.448,0.006922409103397637,-4.9729914336088115,1.4445837931034484,0.6922409103397636
1940,US,90.33333333333333,12005.095,0.007524582965260445,-4.889579889781881,1.3289773062730628,0.7524582965260445
1941,US,103.25,13553.401,0.007618014105832182,-4.877239559282364,1.3126780629539951,0.7618014105832182
1942,US,123.875,14869.861,0.008330609142883043,-4.787818699080466,1.2003924117053482,0.8330609142883043
1943,US,150.48333333333332,16050.218,0.009375781271839006,-4.669625374935059,1.0665777827001885,0.9375781271839005
1944,US,168.65714285714284,16999.328,0.009921400590490567,-4.6130611790940055,1.0079222090462479,0.9921400590490567
